country,country_code,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,African trypanosomiasis,Alcohol use disorders,Alzheimer disease and other dementias,Anxiety disorders,Appendicitis,Ascariasis,Asthma,Autism and Asperger syndrome,Back and neck pain,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Brain and nervous system cancers,Breast cancer,"Cardiomyopathy, myocarditis, endocarditis",Cataracts,Cervix uteri cancer,Chagas disease,Childhood behavioural disorders,Chlamydia,Chronic obstructive pulmonary disease,Cirrhosis of the liver,Collective violence and legal intervention,Colon and rectum cancers,Congenital anomalies,Corpus uteri cancer,Cysticercosis,Dengue,Depressive disorders,Diabetes mellitus,Diarrhoeal diseases,Diphtheria,Drowning,Drug use disorders,Eating disorders,Echinococcosis,Encephalitis,Epilepsy,Exposure to mechanical forces,Falls,"Fire, heat and hot substances",Food-bourne trematodes,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Genital herpes,Glaucoma,Gonorrhoea,Gout,Gynecological diseases,HIV/AIDS,Hookworm disease,Hypertensive heart disease,Idiopathic intellectual disability,Infertility,Inflammatory bowel disease,Interpersonal violence,Iodine deficiency,Iron-deficiency anaemia,Ischaemic heart disease,Kidney cancer,Kidney diseases,Larynx cancer,Leishmaniasis,Leprosy,Leukaemia,Liver cancer,Lower respiratory infections,Lymphatic filariasis,"Lymphomas, multiple myeloma",Macular degeneration,Malaria,Maternal conditions,Measles,Melanoma and other skin cancers,Meningitis,Mesothelioma,Migraine,Mouth and oropharynx cancers,Multiple sclerosis,Natural disasters,Neonatal conditions,Non-migraine headache,Oesophagus cancer,Onchocerciasis,Oral conditions,Osteoarthritis,Other hearing loss,Other vision loss,Otitis media,Ovary cancer,Pancreas cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson disease,Peptic ulcer disease,Poisonings,Prostate cancer,Protein-energy malnutrition,Rabies,Rheumatic heart disease,Rheumatoid arthritis,Road injury,Schistosomiasis,Schizophrenia,Self-harm,Sickle cell disorders and trait,Skin diseases,Stomach cancer,Stroke,Sudden infant death syndrome,Syphilis,Testicular cancer,Tetanus,Thalassaemias,Thyroid cancer,"Trachea, bronchus, lung cancers",Trachoma,Trichomoniasis,Trichuriasis,Tuberculosis,Uncorrected refractive errors,Upper respiratory infections,Urolithiasis,Vitamin A deficiency,Whooping cough,Yellow fever,Grand Total,year
Australia,AUS,0.07,0.16,0.69,0.00,0.00,1.50,61.85,0.01,0.10,0.00,1.81,0.00,0.25,0.28,0.05,4.71,6.42,13.51,6.24,0.00,1.35,0.00,0.00,0.00,33.67,5.63,0.02,24.64,2.82,2.08,0.00,0.00,0.00,17.74,1.17,0.00,0.70,7.07,0.00,0.00,0.01,1.13,0.43,12.36,0.21,0.00,1.98,1.27,0.06,0.00,0.00,0.00,0.12,0.00,0.19,0.00,6.47,0.06,0.00,0.33,0.96,0.00,0.62,85.50,4.33,12.45,0.86,0.00,0.00,8.44,8.08,17.65,0.00,12.05,0.00,0.00,0.08,0.00,9.20,0.15,3.17,0.00,3.86,0.74,0.00,2.10,0.00,5.93,0.00,0.15,0.45,0.01,0.00,0.02,3.97,12.37,1.04,3.12,8.08,1.09,0.13,14.95,0.46,0.00,1.50,0.90,4.94,0.00,0.25,12.50,0.00,2.35,5.11,40.98,0.17,0.01,0.12,0.01,0.00,0.65,34.78,0.00,0.00,0.00,0.20,0.00,0.06,0.00,0.00,0.01,0.00,545.73,2019.00
Belgium,BEL,0.11,0.15,0.46,0.00,0.00,4.34,81.59,0.01,0.15,0.00,1.11,0.00,0.63,0.17,0.11,9.35,6.56,22.41,9.19,0.00,2.10,0.00,0.00,0.00,55.78,12.42,0.00,28.85,2.44,3.33,0.00,0.00,0.00,11.00,3.62,0.00,0.69,2.49,0.00,0.00,0.01,3.01,0.42,15.22,0.65,0.00,3.40,1.57,0.10,0.00,0.00,0.00,0.05,0.00,0.32,0.00,6.42,0.28,0.00,1.25,1.29,0.00,1.72,132.42,6.18,25.58,1.85,0.00,0.00,10.39,8.46,49.20,0.00,13.45,0.00,0.00,0.06,0.00,4.53,0.25,2.43,0.00,5.85,1.28,0.00,1.53,0.00,7.79,0.00,0.16,0.50,0.00,0.00,0.02,5.66,15.69,1.52,4.16,11.94,1.84,0.36,15.81,2.52,0.00,2.55,0.63,5.77,0.00,0.35,18.30,0.00,3.29,7.48,64.19,0.15,0.00,0.11,0.00,0.00,0.72,58.73,0.00,0.00,0.00,0.40,0.00,0.19,0.00,0.00,0.01,0.00,789.04,2019.00
Brazil,BRA,0.41,0.37,0.92,0.02,0.00,3.37,14.55,0.00,0.50,0.00,1.22,0.00,0.12,0.52,0.02,2.51,5.28,9.83,8.30,0.00,4.51,2.38,0.00,0.00,28.13,10.15,0.51,10.97,5.85,1.32,0.44,0.01,0.00,28.24,2.68,0.00,2.34,1.17,0.00,0.02,0.03,1.54,0.63,8.92,0.49,0.00,3.01,2.12,0.27,0.00,0.00,0.00,0.02,0.00,5.95,0.00,13.65,0.06,0.00,0.42,32.59,0.00,1.13,78.54,2.10,17.86,2.59,0.21,0.07,4.03,5.45,44.87,0.00,4.91,0.00,0.01,0.72,0.00,2.38,0.64,0.06,0.00,4.72,0.17,0.00,9.08,0.00,4.96,0.00,0.02,0.15,0.00,0.00,0.03,2.07,5.68,2.25,2.72,2.26,2.01,0.15,9.01,3.17,0.00,1.03,0.27,16.04,0.27,0.31,6.89,0.28,3.40,8.53,58.38,0.11,0.10,0.23,0.04,0.01,0.47,15.00,0.00,0.00,0.00,2.33,0.00,0.12,0.00,0.00,0.01,0.00,544.21,2019.00
Canada,CAN,0.03,0.17,0.97,0.00,0.00,3.98,82.78,0.00,0.13,0.00,0.71,0.00,0.34,0.38,0.09,6.74,6.56,15.79,5.51,0.00,1.54,0.00,0.00,0.00,37.98,9.69,0.05,25.80,2.89,3.16,0.00,0.00,0.00,15.28,2.24,0.00,0.75,9.85,0.00,0.00,0.01,1.03,0.58,12.91,0.52,0.00,2.08,1.65,0.14,0.00,0.00,0.00,0.06,0.00,0.44,0.00,6.84,0.14,0.00,0.53,1.61,0.00,0.91,107.09,5.49,12.24,1.20,0.00,0.00,8.28,8.32,19.87,0.00,13.75,0.00,0.00,0.12,0.00,4.69,0.18,1.53,0.00,4.26,1.85,0.00,2.89,0.00,5.95,0.00,0.13,0.37,0.00,0.00,0.01,5.08,13.52,1.35,3.15,8.98,1.18,0.33,12.59,0.51,0.00,1.70,0.86,5.34,0.00,0.31,11.81,0.00,1.82,5.82,37.85,0.09,0.01,0.11,0.00,0.00,0.68,55.97,0.00,0.00,0.00,0.26,0.00,0.12,0.00,0.00,0.00,0.00,630.52,2019.00
Switzerland,CHE,0.02,0.05,0.18,0.00,0.00,2.66,83.71,0.03,0.17,0.00,1.11,0.00,1.04,0.37,0.21,7.79,6.65,18.36,11.95,0.00,1.22,0.00,0.00,0.00,33.77,7.88,0.00,23.22,3.55,2.61,0.00,0.00,0.00,11.89,2.16,0.00,0.57,2.05,0.00,0.08,0.01,1.84,0.40,22.33,0.25,0.00,2.32,2.74,0.24,0.00,0.02,0.00,0.07,0.00,0.33,0.00,28.76,0.27,0.00,0.78,0.49,0.01,1.18,124.70,4.96,14.68,1.01,0.00,0.00,7.81,9.37,22.68,0.00,13.17,0.00,0.00,0.04,0.00,5.74,0.23,2.42,0.00,5.82,1.86,0.04,1.76,0.00,5.71,0.00,0.10,1.97,0.02,0.00,0.01,5.32,17.30,1.23,3.77,9.98,1.42,0.15,18.38,0.98,0.13,0.90,0.79,2.25,0.00,1.11,14.54,0.02,1.50,7.15,45.59,0.13,0.02,0.15,0.01,0.01,0.93,40.96,0.00,0.00,0.00,0.25,0.00,0.12,0.00,0.00,0.00,0.00,684.51,2019.00
China,CHN,0.00,0.18,0.00,0.01,0.00,1.33,21.11,0.00,0.09,0.00,1.61,0.00,0.00,0.00,0.00,2.62,4.23,6.43,2.08,0.00,3.58,0.00,0.00,0.00,67.18,10.10,0.05,17.22,2.53,0.82,0.03,0.00,0.00,11.21,0.61,0.00,3.67,1.68,0.00,0.10,0.20,0.78,1.93,9.63,0.73,0.00,1.05,2.26,1.20,0.00,0.00,0.01,0.00,0.05,1.99,0.00,20.89,0.00,0.00,0.30,0.77,0.00,0.00,122.87,1.59,13.32,1.33,0.00,0.00,4.03,12.55,12.71,0.00,4.01,0.00,0.00,0.25,0.04,1.36,0.39,0.18,0.00,3.79,0.11,0.00,3.26,0.00,16.84,0.00,0.00,0.00,0.00,0.00,0.00,1.95,7.74,0.70,1.01,4.90,2.61,1.78,3.54,0.89,0.99,4.52,0.69,17.36,0.02,0.00,8.07,0.00,0.35,27.64,141.71,0.06,0.12,0.08,0.03,0.14,0.48,49.55,0.00,0.00,0.00,2.41,0.00,0.17,0.17,0.00,0.03,0.00,678.59,2019.00
Germany,DEU,0.15,0.22,0.61,0.05,0.00,7.50,61.27,0.00,0.15,0.00,1.11,0.00,1.03,0.35,0.04,7.42,8.11,22.57,10.65,0.00,2.55,0.00,0.00,0.00,51.25,18.19,0.00,31.17,2.75,2.67,0.00,0.00,0.00,18.62,4.58,0.00,0.56,2.31,0.00,0.21,0.01,3.70,0.49,18.34,0.43,0.00,3.02,4.68,0.44,0.00,0.00,0.00,0.05,0.00,0.42,0.00,32.08,0.08,0.00,0.90,0.91,0.00,1.18,176.07,7.00,27.27,1.91,0.00,0.00,10.46,9.65,24.80,0.00,14.66,0.00,0.00,0.04,0.00,4.85,0.20,1.85,0.00,7.22,1.87,0.00,1.82,0.00,7.43,0.00,0.08,0.43,0.00,0.00,0.01,6.22,21.51,2.15,4.09,15.08,2.58,0.25,19.74,0.53,0.02,4.32,0.65,3.78,0.00,0.47,12.31,0.00,1.85,11.57,59.61,0.13,0.00,0.22,0.00,0.00,0.85,55.75,0.00,0.00,0.00,0.34,0.00,0.15,0.00,0.00,0.00,0.00,844.62,2019.00
Spain,ESP,0.02,0.34,1.40,0.01,0.00,0.71,90.59,0.00,0.16,0.00,2.43,0.00,0.34,0.44,0.06,11.17,6.88,15.11,10.66,0.00,1.83,0.01,0.00,0.00,40.49,9.06,0.00,36.28,1.84,3.45,0.00,0.00,0.00,16.63,2.27,0.00,0.95,1.67,0.00,0.00,0.01,1.76,0.36,6.95,0.40,0.00,5.85,3.08,0.12,0.00,0.01,0.00,0.01,0.00,1.15,0.00,19.50,0.18,0.00,0.51,0.56,0.01,1.96,110.58,5.24,20.81,3.05,0.01,0.00,8.07,10.90,29.35,0.00,11.40,0.00,0.00,0.03,0.00,3.86,0.29,1.04,0.00,5.52,0.62,0.00,1.31,0.00,4.29,0.00,0.09,0.45,0.00,0.00,0.02,4.34,14.45,2.98,4.76,10.58,1.02,0.36,13.73,0.64,0.00,3.45,0.62,3.92,0.00,0.38,7.73,0.00,3.94,12.40,62.06,0.09,0.02,0.08,0.00,0.00,0.77,47.35,0.00,0.00,0.00,0.58,0.00,0.10,0.00,0.00,0.00,0.00,710.54,2019.00
France,FRA,0.06,0.21,0.63,0.03,0.00,4.90,81.62,0.01,0.13,0.00,1.60,0.00,0.57,0.11,0.31,10.08,7.13,23.85,9.32,0.01,2.41,0.00,0.00,0.00,27.99,11.32,0.00,33.55,3.09,4.17,0.00,0.00,0.00,16.75,2.77,0.00,1.33,2.89,0.00,0.04,0.01,2.86,0.38,12.72,0.62,0.00,3.23,2.12,0.06,0.00,0.00,0.00,0.06,0.00,0.56,0.00,10.91,0.21,0.00,0.60,0.83,0.00,1.49,97.01,7.10,17.61,1.99,0.00,0.00,11.45,14.70,30.36,0.00,15.46,0.00,0.00,0.08,0.00,5.00,0.25,1.93,0.00,7.17,1.16,0.00,2.41,0.00,7.18,0.00,0.18,0.38,0.00,0.00,0.02,6.08,18.98,1.62,6.02,11.63,1.51,0.35,16.69,6.46,0.00,2.12,0.65,5.12,0.00,1.00,13.75,0.03,2.44,8.48,55.82,0.22,0.00,0.18,0.00,0.00,0.75,54.74,0.00,0.00,0.00,0.66,0.00,0.07,0.00,0.00,0.00,0.00,720.40,2019.00
United Kingdom of Great Britain and Northern Ireland,GBR,0.02,0.05,0.39,0.01,0.00,2.31,145.31,0.00,0.15,0.00,1.93,0.00,0.26,0.27,0.04,9.09,6.76,18.83,4.63,0.00,1.62,0.00,0.00,0.00,48.70,11.35,0.00,27.32,3.15,3.47,0.00,0.00,0.00,8.65,2.35,0.00,0.44,4.18,0.00,0.00,0.01,1.77,0.50,11.28,0.49,0.00,4.04,1.59,0.34,0.00,0.00,0.00,0.02,0.00,0.27,0.00,7.71,0.00,0.00,0.53,1.28,0.00,0.41,106.22,7.03,8.10,1.40,0.00,0.00,7.72,7.75,60.03,0.00,13.85,0.00,0.00,0.07,0.00,5.52,0.35,4.13,0.00,4.61,2.75,0.00,2.44,0.00,12.92,0.00,0.08,0.25,0.00,0.00,0.01,5.95,13.32,1.90,3.32,12.69,3.09,0.32,19.68,0.17,0.00,1.29,1.51,3.21,0.00,0.15,7.88,0.04,3.15,7.40,55.72,0.17,0.07,0.09,0.00,0.00,0.64,52.87,0.00,0.00,0.00,0.52,0.00,0.07,0.00,0.00,0.00,0.00,771.98,2019.00
